queue_rank,probe_id,anchor_type,recipe,anchor_id,anchor_signal_role,anchor_strategy_role,trigger_id,trigger_signal_role,trigger_strategy_role,probe_timeframe,instruments,compatibility_prior_score,signal_density_score,signal_density_bucket,signal_balance_bucket,trigger_active_percent,trigger_event_count,forward_response_prior_score,forward_response_prior_bucket,best_forward_context,strong_cell_count,recipe_fit_score,pair_prior_score,pair_prior_label,pair_prior_bucket,pair_issue,shared_base_indicator,anchor_timeframe,profile_path,result_dir
1,l3-001-rsi-mean-reversion-channel-reentry-m5,mean_reversion,mean_reversion_reclaim,RSI_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",89.3,90.0,usable,balanced,7.4925,2997,75.0,context_dependent_forward_response,USDJPY M5 long 1,8,76.0,89.34,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-001-rsi-mean-reversion-channel-reentry-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-001-rsi-mean-reversion-channel-reentry-m5
2,l3-002-toby-crabel-narrow-range-pmo-crossover-m5,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",91.7,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,78.0,88.97,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-002-toby-crabel-narrow-range-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-002-toby-crabel-narrow-range-pmo-crossover-m5
3,l3-003-bbands-position-mean-reversion-channel-reentry-m5,mean_reversion,mean_reversion_reclaim,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",86.9,90.0,usable,balanced,7.4925,2997,75.0,context_dependent_forward_response,USDJPY M5 long 1,8,76.0,88.57,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-003-bbands-position-mean-reversion-channel-reentry-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-003-bbands-position-mean-reversion-channel-reentry-m5
4,l3-004-kalman-velocity-confirm-pmo-crossover-m5,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",90.5,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,76.0,88.27,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-004-kalman-velocity-confirm-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-004-kalman-velocity-confirm-pmo-crossover-m5
5,l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",92.3,90.0,usable,balanced,8.485,1173,66.16,context_dependent_forward_response,USDJPY M5 long 24,2,76.0,87.82,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-005-kalman-velocity-confirm-toby-crabel-narrow-range-m5
6,l3-006-adx-pmo-crossover-m5,trend,trend_pullback_continuation,ADX,filter,,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",86.5,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,76.0,86.99,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-006-adx-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-006-adx-pmo-crossover-m5
7,l3-007-toby-crabel-narrow-range-market-mode-transition-m15,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",89.3,90.0,usable,balanced,7.435,1487,65.16,context_dependent_forward_response,USDJPY M15 long 6,3,78.0,86.9,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-007-toby-crabel-narrow-range-market-mode-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-007-toby-crabel-narrow-range-market-mode-transition-m15
8,l3-008-ma-slope-trend-pmo-crossover-m5,trend,trend_pullback_continuation,MA_SLOPE_TREND,context,trend,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",85.7,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,76.0,86.73,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-008-ma-slope-trend-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-008-ma-slope-trend-pmo-crossover-m5
9,l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5,compression,breakout_compression_release,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",84.1,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,78.0,86.54,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5
10,l3-010-adx-toby-crabel-narrow-range-m5,trend,trend_pullback_continuation,ADX,filter,,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",88.3,90.0,usable,balanced,8.485,1173,66.16,context_dependent_forward_response,USDJPY M5 long 24,2,76.0,86.54,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-010-adx-toby-crabel-narrow-range-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-010-adx-toby-crabel-narrow-range-m5
11,l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,TTF_DSL_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",89.3,90.0,usable,balanced,5.2725,2107,63.6,context_dependent_forward_response,USDJPY M15 long 24,1,78.0,86.46,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15
12,l3-012-ma-slope-trend-toby-crabel-narrow-range-m5,trend,trend_pullback_continuation,MA_SLOPE_TREND,context,trend,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",87.5,90.0,usable,balanced,8.485,1173,66.16,context_dependent_forward_response,USDJPY M5 long 24,2,76.0,86.28,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-012-ma-slope-trend-toby-crabel-narrow-range-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-012-ma-slope-trend-toby-crabel-narrow-range-m5
13,l3-013-kalman-velocity-confirm-market-mode-transition-m15,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",88.1,90.0,usable,balanced,7.435,1487,65.16,context_dependent_forward_response,USDJPY M15 long 6,3,76.0,86.2,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-013-kalman-velocity-confirm-market-mode-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-013-kalman-velocity-confirm-market-mode-transition-m15
14,l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5,compression,breakout_compression_release,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",85.9,90.0,usable,balanced,8.485,1173,66.16,context_dependent_forward_response,USDJPY M5 long 24,2,78.0,86.09,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5
15,l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,TTF_DSL_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",88.1,90.0,usable,balanced,5.2725,2107,63.6,context_dependent_forward_response,USDJPY M15 long 24,1,76.0,85.76,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15
16,l3-016-rsi-mean-reversion-channel-reentry-m15,mean_reversion,mean_reversion_reclaim,RSI_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",89.3,90.0,usable,balanced,7.4925,2997,75.0,context_dependent_forward_response,USDJPY M5 long 1,8,76.0,85.34,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-016-rsi-mean-reversion-channel-reentry-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-016-rsi-mean-reversion-channel-reentry-m15
17,l3-017-toby-crabel-narrow-range-pmo-crossover-m15,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,PMO_CROSSOVER,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",91.7,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,78.0,84.97,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-017-toby-crabel-narrow-range-pmo-crossover-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-017-toby-crabel-narrow-range-pmo-crossover-m15
18,l3-018-adx-market-mode-transition-m15,trend,trend_pullback_continuation,ADX,filter,,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",84.1,90.0,usable,balanced,7.435,1487,65.16,context_dependent_forward_response,USDJPY M15 long 6,3,76.0,84.92,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-018-adx-market-mode-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-018-adx-market-mode-transition-m15
19,l3-019-ma-slope-trend-market-mode-transition-m15,trend,trend_pullback_continuation,MA_SLOPE_TREND,context,trend,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",83.3,90.0,usable,balanced,7.435,1487,65.16,context_dependent_forward_response,USDJPY M15 long 6,3,76.0,84.66,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-019-ma-slope-trend-market-mode-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-019-ma-slope-trend-market-mode-transition-m15
20,l3-020-bbands-position-mean-reversion-channel-reentry-m15,mean_reversion,mean_reversion_reclaim,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,trigger,mean-reversion,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",86.9,90.0,usable,balanced,7.4925,2997,75.0,context_dependent_forward_response,USDJPY M5 long 1,8,76.0,84.57,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-020-bbands-position-mean-reversion-channel-reentry-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-020-bbands-position-mean-reversion-channel-reentry-m15
21,l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,WAVETREND_CROSSOVER,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",89.3,90.0,usable,balanced,4.015,796,56.71,neutral_forward_response,XAUUSD M15 short 12,0,78.0,84.53,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15
22,l3-022-adx-ttf-dsl-transition-m15,trend,trend_pullback_continuation,ADX,filter,,TTF_DSL_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",84.1,90.0,usable,balanced,5.2725,2107,63.6,context_dependent_forward_response,USDJPY M15 long 24,1,76.0,84.48,high,probe_now,,False,M5,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-022-adx-ttf-dsl-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-022-adx-ttf-dsl-transition-m15
23,l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15,compression,breakout_compression_release,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",81.7,90.0,usable,balanced,7.435,1487,65.16,context_dependent_forward_response,USDJPY M15 long 6,3,78.0,84.47,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15
24,l3-024-kalman-velocity-confirm-pmo-crossover-m15,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,PMO_CROSSOVER,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",90.5,90.0,usable,balanced,11.605,2104,69.81,context_dependent_forward_response,EURUSD M5 short 24,3,76.0,84.27,high,probe_now,,False,M15,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\profiles\l3-024-kalman-velocity-confirm-pmo-crossover-m15.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-atlas\probe-results\l3-024-kalman-velocity-confirm-pmo-crossover-m15
