first_cluster_id,second_cluster_id,first_cluster_label,second_cluster_label,tested_pair_count,positive_pair_count,strong_pair_count,positive_rate,best_score,avg_positive_score,compatibility_score,top_timeframes,top_lanes,top_example
first_cluster_01,second_cluster_02,first:confirm->with:minus_di_mean_reversion,second:mean-reversion->with:toby_crabel_narrow_range,1446,295,69,0.204,78.3601,63.5913,75.364,"M15,M5","wild_diversity,proven_neighbor,plausible_novel","{""probe_id"": ""dp-0252-toby-crabel-narrow-rsi-crossback-m5"", ""first_indicator_id"": ""TOBY_CRABEL_NARROW_RANGE"", ""second_indicator_id"": ""RSI_CROSSBACK"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""proven_neighbor"", ""composite_score"": 78.3601, ""best_trades"": ""34"", ""best_expectancy_r"": ""0.6649"", ""best_profit_factor"": ""3.5143""}"
first_cluster_02,second_cluster_01,first:mean-reversion->with:toby_crabel_narrow_range,second:confirm->with:plus_di_mean_reversion,1675,345,72,0.206,78.3601,63.0823,75.2563,"M15,M5","plausible_novel,proven_neighbor,wild_diversity","{""probe_id"": ""dp-0152-rsi-crossback-toby-crabel-narrow-m5"", ""first_indicator_id"": ""RSI_CROSSBACK"", ""second_indicator_id"": ""TOBY_CRABEL_NARROW_RANGE"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""proven_neighbor"", ""composite_score"": 78.3601, ""best_trades"": ""34"", ""best_expectancy_r"": ""0.6649"", ""best_profit_factor"": ""3.5143""}"
first_cluster_03,second_cluster_02,first:trend->with:obv_mean_reversion,second:mean-reversion->with:toby_crabel_narrow_range,812,147,15,0.181,76.2815,60.9868,71.7369,"M15,M5","wild_diversity,plausible_novel,proven_neighbor","{""probe_id"": ""dp-9980-bollinger-keltner-obv-mean-reversion-m5"", ""first_indicator_id"": ""BOLLINGER_KELTNER_SQUEEZE_RELEASE"", ""second_indicator_id"": ""OBV_MEAN_REVERSION"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 76.2815, ""best_trades"": ""59"", ""best_expectancy_r"": ""0.3971"", ""best_profit_factor"": ""2.8177""}"
first_cluster_01,second_cluster_01,first:confirm->with:minus_di_mean_reversion,second:confirm->with:plus_di_mean_reversion,1436,56,9,0.039,75.147,60.5369,67.5809,"M15,M5","wild_diversity,under_tested_role_correct,proven_neighbor","{""probe_id"": ""dp-2331-weis-wave-force-tr-market-mode-transi-m15"", ""first_indicator_id"": ""WEIS_WAVE_FORCE_TREND"", ""second_indicator_id"": ""MARKET_MODE_TRANSITION"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 75.147, ""best_trades"": ""99"", ""best_expectancy_r"": ""0.1429"", ""best_profit_factor"": ""4.0709""}"
first_cluster_02,second_cluster_03,first:mean-reversion->with:toby_crabel_narrow_range,second:breakout->with:obv_mean_reversion,392,57,5,0.1454,76.2815,61.5681,67.5361,"M5,M15","plausible_novel,wild_diversity,proven_neighbor","{""probe_id"": ""dp-3083-obv-mean-reversion-bollinger-keltner-m5"", ""first_indicator_id"": ""OBV_MEAN_REVERSION"", ""second_indicator_id"": ""BOLLINGER_KELTNER_SQUEEZE_RELEASE"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 76.2815, ""best_trades"": ""59"", ""best_expectancy_r"": ""0.3971"", ""best_profit_factor"": ""2.8177""}"
first_cluster_02,second_cluster_02,first:mean-reversion->with:toby_crabel_narrow_range,second:mean-reversion->with:toby_crabel_narrow_range,1561,40,5,0.0256,74.6439,57.1786,63.1692,"M15,M5","proven_neighbor,wild_diversity,plausible_novel","{""probe_id"": ""dp-0249-willr-mean-reversi-rsi-crossback-m5"", ""first_indicator_id"": ""WILLR_MEAN_REVERSION"", ""second_indicator_id"": ""RSI_CROSSBACK"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""proven_neighbor"", ""composite_score"": 74.6439, ""best_trades"": ""28"", ""best_expectancy_r"": ""0.6151"", ""best_profit_factor"": ""3.2281""}"
first_cluster_02,second_cluster_04,first:mean-reversion->with:toby_crabel_narrow_range,second:trend->with:ma_spread_mean_reversion,336,62,1,0.1845,72.419,58.7124,62.2637,"M5,M15","wild_diversity,plausible_novel,proven_neighbor","{""probe_id"": ""dp-7408-ma-spread-mean-rev-bbands-position-tr-m5"", ""first_indicator_id"": ""MA_SPREAD_MEAN_REVERSION"", ""second_indicator_id"": ""BBANDS_POSITION_TREND"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 72.419, ""best_trades"": ""20"", ""best_expectancy_r"": ""1.5167"", ""best_profit_factor"": ""3.5175""}"
first_cluster_04,second_cluster_02,first:filter->with:rsi_mean_reversion,second:mean-reversion->with:toby_crabel_narrow_range,464,41,1,0.0884,76.5771,61.3711,61.6704,"M15,M5","wild_diversity,proven_neighbor,plausible_novel","{""probe_id"": ""dp-8011-vqi-directional-qu-willr-mean-reversi-m5"", ""first_indicator_id"": ""VQI_DIRECTIONAL_QUALITY"", ""second_indicator_id"": ""WILLR_MEAN_REVERSION"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 76.5771, ""best_trades"": ""19"", ""best_expectancy_r"": ""0.8705"", ""best_profit_factor"": ""3.1005""}"
first_cluster_01,second_cluster_03,first:confirm->with:minus_di_mean_reversion,second:breakout->with:obv_mean_reversion,345,16,2,0.0464,74.4479,58.6319,57.373,"M15,M5","wild_diversity,plausible_novel,proven_neighbor","{""probe_id"": ""dp-9004-price-reclaim-ma-ttf-dsl-transition-m15"", ""first_indicator_id"": ""PRICE_RECLAIM_MA"", ""second_indicator_id"": ""TTF_DSL_TRANSITION"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 74.4479, ""best_trades"": ""49"", ""best_expectancy_r"": ""0.3507"", ""best_profit_factor"": ""1.8428""}"
first_cluster_02,second_cluster_06,first:mean-reversion->with:toby_crabel_narrow_range,second:filter->with:cmo_mean_reversion,112,8,2,0.0714,71.4887,64.8192,55.3872,"M15,M5","plausible_novel,wild_diversity","{""probe_id"": ""dp-13779-cmo-mean-reversion-atr-step-trend-fil-m5"", ""first_indicator_id"": ""CMO_MEAN_REVERSION"", ""second_indicator_id"": ""ATR_STEP_TREND_FILTER"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 71.4887, ""best_trades"": ""24"", ""best_expectancy_r"": ""0.7172"", ""best_profit_factor"": ""2.1775""}"
first_cluster_02,second_cluster_05,first:mean-reversion->with:toby_crabel_narrow_range,second:trend->with:keltner_channel_mean_reversion,392,32,0,0.0816,69.0885,59.3802,54.9473,"M5,M15","wild_diversity,proven_neighbor,plausible_novel","{""probe_id"": ""dp-5701-keltner-channel-me-ma-distance-trend-m15"", ""first_indicator_id"": ""KELTNER_CHANNEL_MEAN_REVERSION"", ""second_indicator_id"": ""MA_DISTANCE_TREND"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 69.0885, ""best_trades"": ""20"", ""best_expectancy_r"": ""0.8216"", ""best_profit_factor"": ""2.2355""}"
first_cluster_06,second_cluster_02,first:trend->with:keltner_channel_mean_reversion,second:mean-reversion->with:toby_crabel_narrow_range,232,21,0,0.0905,69.0885,58.3456,53.0259,"M5,M15","plausible_novel,proven_neighbor,wild_diversity","{""probe_id"": ""dp-5749-ma-distance-trend-keltner-channel-me-m15"", ""first_indicator_id"": ""MA_DISTANCE_TREND"", ""second_indicator_id"": ""KELTNER_CHANNEL_MEAN_REVERSION"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 69.0885, ""best_trades"": ""20"", ""best_expectancy_r"": ""0.8216"", ""best_profit_factor"": ""2.2355""}"
first_cluster_05,second_cluster_01,first:confirm->with:weis_wave_force_trend,second:confirm->with:plus_di_mean_reversion,120,5,1,0.0417,74.4479,62.3095,52.2865,"M15,M5",wild_diversity,"{""probe_id"": ""dp-9030-ttf-dsl-transition-price-reclaim-ma-m15"", ""first_indicator_id"": ""TTF_DSL_TRANSITION"", ""second_indicator_id"": ""PRICE_RECLAIM_MA"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 74.4479, ""best_trades"": ""49"", ""best_expectancy_r"": ""0.3507"", ""best_profit_factor"": ""1.8428""}"
first_cluster_01,second_cluster_05,first:confirm->with:minus_di_mean_reversion,second:trend->with:keltner_channel_mean_reversion,350,17,0,0.0486,69.7841,59.4945,52.2702,"M15,M5","wild_diversity,proven_neighbor","{""probe_id"": ""dp-9271-buffered-range-bre-minus-di-trend-m15"", ""first_indicator_id"": ""BUFFERED_RANGE_BREAKOUT_SIGNAL"", ""second_indicator_id"": ""MINUS_DI_TREND"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 69.7841, ""best_trades"": ""34"", ""best_expectancy_r"": ""1.0341"", ""best_profit_factor"": ""2.4232""}"
first_cluster_03,second_cluster_01,first:trend->with:obv_mean_reversion,second:confirm->with:plus_di_mean_reversion,840,28,0,0.0333,65.9064,56.5618,52.0877,"M15,M5","plausible_novel,wild_diversity,proven_neighbor","{""probe_id"": ""dp-3991-plus-di-trend-wick-rejection-m15"", ""first_indicator_id"": ""PLUS_DI_TREND"", ""second_indicator_id"": ""WICK_REJECTION"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 65.9064, ""best_trades"": ""136"", ""best_expectancy_r"": ""0.1733"", ""best_profit_factor"": ""2.052""}"
first_cluster_05,second_cluster_02,first:confirm->with:weis_wave_force_trend,second:mean-reversion->with:toby_crabel_narrow_range,114,5,1,0.0439,72.1982,60.1682,50.9858,"M5,M15","wild_diversity,proven_neighbor","{""probe_id"": ""dp-2123-stochrsi-crossback-bbands-position-me-m15"", ""first_indicator_id"": ""STOCHRSI_CROSSBACK"", ""second_indicator_id"": ""BBANDS_POSITION_MEAN_REVERSION"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""proven_neighbor"", ""composite_score"": 72.1982, ""best_trades"": ""94"", ""best_expectancy_r"": ""0.3395"", ""best_profit_factor"": ""1.7192""}"
first_cluster_03,second_cluster_07,first:trend->with:obv_mean_reversion,second:filter->with:cmo_trend,28,7,0,0.25,67.7271,62.2447,50.7488,"M15,M5",wild_diversity,"{""probe_id"": ""dp-14123-cmo-trend-rolling-volume-pro-m15"", ""first_indicator_id"": ""CMO_TREND"", ""second_indicator_id"": ""ROLLING_VOLUME_PROFILE_CONTEXT"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 67.7271, ""best_trades"": ""79"", ""best_expectancy_r"": ""0.4619"", ""best_profit_factor"": ""1.8201""}"
first_cluster_03,second_cluster_05,first:trend->with:obv_mean_reversion,second:trend->with:keltner_channel_mean_reversion,192,3,1,0.0156,72.1137,63.5057,49.7566,"M15,M5",wild_diversity,"{""probe_id"": ""dp-12700-plus-di-trend-minus-di-trend-m15"", ""first_indicator_id"": ""PLUS_DI_TREND"", ""second_indicator_id"": ""MINUS_DI_TREND"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 72.1137, ""best_trades"": ""115"", ""best_expectancy_r"": ""0.3042"", ""best_profit_factor"": ""3.5011""}"
first_cluster_01,second_cluster_04,first:confirm->with:minus_di_mean_reversion,second:trend->with:ma_spread_mean_reversion,300,11,0,0.0367,67.7271,57.9065,49.2826,M15,"wild_diversity,plausible_novel,proven_neighbor","{""probe_id"": ""dp-8281-rolling-volume-pro-cmo-trend-m15"", ""first_indicator_id"": ""ROLLING_VOLUME_PROFILE_CONTEXT"", ""second_indicator_id"": ""CMO_TREND"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 67.7271, ""best_trades"": ""79"", ""best_expectancy_r"": ""0.4619"", ""best_profit_factor"": ""1.8201""}"
first_cluster_06,second_cluster_01,first:trend->with:keltner_channel_mean_reversion,second:confirm->with:plus_di_mean_reversion,235,9,0,0.0383,68.2359,58.4435,48.8236,"M15,M5","proven_neighbor,plausible_novel","{""probe_id"": ""dp-2715-keltner-channel-br-wavetrend-crossove-m15"", ""first_indicator_id"": ""KELTNER_CHANNEL_BREAKOUT"", ""second_indicator_id"": ""WAVETREND_CROSSOVER"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 68.2359, ""best_trades"": ""11"", ""best_expectancy_r"": ""1.7125"", ""best_profit_factor"": ""4.7273""}"
first_cluster_03,second_cluster_03,first:trend->with:obv_mean_reversion,second:breakout->with:obv_mean_reversion,186,10,0,0.0538,65.5833,57.3129,48.1789,"M5,M15","plausible_novel,wild_diversity","{""probe_id"": ""dp-2646-rsi-trend-buffered-range-bre-m15"", ""first_indicator_id"": ""RSI_TREND"", ""second_indicator_id"": ""BUFFERED_RANGE_BREAKOUT_SIGNAL"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 65.5833, ""best_trades"": ""11"", ""best_expectancy_r"": ""0.7351"", ""best_profit_factor"": ""2.6757""}"
first_cluster_05,second_cluster_06,first:confirm->with:weis_wave_force_trend,second:filter->with:cmo_mean_reversion,8,2,0,0.25,69.3561,61.4186,46.8753,"M15,M5",wild_diversity,"{""probe_id"": ""dp-10501-stochrsi-crossback-stoch-trend-m5"", ""first_indicator_id"": ""STOCHRSI_CROSSBACK"", ""second_indicator_id"": ""STOCH_TREND"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 69.3561, ""best_trades"": ""47"", ""best_expectancy_r"": ""0.3764"", ""best_profit_factor"": ""1.7112""}"
first_cluster_02,second_cluster_07,first:mean-reversion->with:toby_crabel_narrow_range,second:filter->with:cmo_trend,56,4,0,0.0714,67.0802,61.841,46.6054,"M15,M5",wild_diversity,"{""probe_id"": ""dp-14501-plus-di-mean-rever-rolling-volume-pro-m5"", ""first_indicator_id"": ""PLUS_DI_MEAN_REVERSION"", ""second_indicator_id"": ""ROLLING_VOLUME_PROFILE_CONTEXT"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 67.0802, ""best_trades"": ""46"", ""best_expectancy_r"": ""0.6446"", ""best_profit_factor"": ""1.9603""}"
first_cluster_01,second_cluster_07,first:confirm->with:minus_di_mean_reversion,second:filter->with:cmo_trend,48,5,0,0.1042,62.1521,55.9942,44.5338,"M15,M5",wild_diversity,"{""probe_id"": ""dp-11309-thrust-bar-signal-rolling-volume-pro-m15"", ""first_indicator_id"": ""THRUST_BAR_SIGNAL"", ""second_indicator_id"": ""ROLLING_VOLUME_PROFILE_CONTEXT"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 62.1521, ""best_trades"": ""13"", ""best_expectancy_r"": ""1.4444"", ""best_profit_factor"": ""1.4238""}"
first_cluster_05,second_cluster_03,first:confirm->with:weis_wave_force_trend,second:breakout->with:obv_mean_reversion,26,2,0,0.0769,66.5608,62.687,44.4833,M15,wild_diversity,"{""probe_id"": ""dp-9256-ttf-dsl-transition-plus-di-trend-m15"", ""first_indicator_id"": ""TTF_DSL_TRANSITION"", ""second_indicator_id"": ""PLUS_DI_TREND"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 66.5608, ""best_trades"": ""66"", ""best_expectancy_r"": ""0.4322"", ""best_profit_factor"": ""1.5322""}"
first_cluster_08,second_cluster_04,first:filter->with:garch_volatility_regime,second:trend->with:ma_spread_mean_reversion,36,4,0,0.1111,60.0878,57.5687,43.4868,"M15,M5",wild_diversity,"{""probe_id"": ""dp-13859-random-walk-index-garch-volatility-r-m15"", ""first_indicator_id"": ""RANDOM_WALK_INDEX_FILTER"", ""second_indicator_id"": ""GARCH_VOLATILITY_REGIME"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 60.0878, ""best_trades"": ""28"", ""best_expectancy_r"": ""0.756"", ""best_profit_factor"": ""2.0304""}"
first_cluster_01,second_cluster_06,first:confirm->with:minus_di_mean_reversion,second:filter->with:cmo_mean_reversion,100,1,0,0.01,63.956,63.956,41.468,M15,wild_diversity,"{""probe_id"": ""dp-9833-ehlers-fisher-tran-stoch-trend-m15"", ""first_indicator_id"": ""EHLERS_FISHER_TRANSITION"", ""second_indicator_id"": ""STOCH_TREND"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 63.956, ""best_trades"": ""36"", ""best_expectancy_r"": ""0.3201"", ""best_profit_factor"": ""1.6819""}"
first_cluster_03,second_cluster_09,first:trend->with:obv_mean_reversion,second:filter->with:garch_volatility_regime,56,3,0,0.0536,57.3247,54.8353,40.297,"M15,M5",wild_diversity,"{""probe_id"": ""dp-14483-garch-volatility-r-adx-m15"", ""first_indicator_id"": ""GARCH_VOLATILITY_REGIME"", ""second_indicator_id"": ""ADX"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 57.3247, ""best_trades"": ""66"", ""best_expectancy_r"": ""0.5682"", ""best_profit_factor"": ""1.7143""}"
first_cluster_02,second_cluster_08,first:mean-reversion->with:toby_crabel_narrow_range,second:unknown->with:stochf_mean_reversion,56,1,0,0.0179,61.7839,61.7839,40.2433,M15,plausible_novel,"{""probe_id"": ""dp-4490-stochf-mean-revers-stoch-crossover-m15"", ""first_indicator_id"": ""STOCHF_MEAN_REVERSION"", ""second_indicator_id"": ""STOCH_CROSSOVER"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 61.7839, ""best_trades"": ""95"", ""best_expectancy_r"": ""0.2288"", ""best_profit_factor"": ""1.3802""}"
first_cluster_07,second_cluster_02,first:unknown->with:stochf_mean_reversion,second:mean-reversion->with:toby_crabel_narrow_range,58,1,0,0.0172,61.7839,61.7839,40.2371,M15,wild_diversity,"{""probe_id"": ""dp-13528-stoch-crossover-stochf-mean-revers-m15"", ""first_indicator_id"": ""STOCH_CROSSOVER"", ""second_indicator_id"": ""STOCHF_MEAN_REVERSION"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 61.7839, ""best_trades"": ""95"", ""best_expectancy_r"": ""0.2288"", ""best_profit_factor"": ""1.3802""}"
first_cluster_04,second_cluster_01,first:filter->with:rsi_mean_reversion,second:confirm->with:plus_di_mean_reversion,465,1,0,0.0022,60.8107,60.8107,39.5023,M15,plausible_novel,"{""probe_id"": ""dp-3583-bollinger-keltner-wavetrend-crossove-m15"", ""first_indicator_id"": ""BOLLINGER_KELTNER_SQUEEZE_FILTER"", ""second_indicator_id"": ""WAVETREND_CROSSOVER"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 60.8107, ""best_trades"": ""25"", ""best_expectancy_r"": ""0.625"", ""best_profit_factor"": ""3.1154""}"
first_cluster_04,second_cluster_04,first:filter->with:rsi_mean_reversion,second:trend->with:ma_spread_mean_reversion,96,2,0,0.0208,55.6178,54.4621,38.0361,M15,wild_diversity,"{""probe_id"": ""dp-14018-stochrsi-trend-garch-volatility-r-m15"", ""first_indicator_id"": ""STOCHRSI_TREND"", ""second_indicator_id"": ""GARCH_VOLATILITY_REGIME"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 55.6178, ""best_trades"": ""27"", ""best_expectancy_r"": ""0.6019"", ""best_profit_factor"": ""1.7647""}"
first_cluster_05,second_cluster_04,first:confirm->with:weis_wave_force_trend,second:trend->with:ma_spread_mean_reversion,24,2,0,0.0833,52.7407,52.3366,37.1227,M15,wild_diversity,"{""probe_id"": ""dp-14364-stochrsi-crossback-garch-volatility-r-m15"", ""first_indicator_id"": ""STOCHRSI_CROSSBACK"", ""second_indicator_id"": ""GARCH_VOLATILITY_REGIME"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 52.7407, ""best_trades"": ""8"", ""best_expectancy_r"": ""0.625"", ""best_profit_factor"": ""2.1111""}"
first_cluster_03,second_cluster_04,first:trend->with:obv_mean_reversion,second:trend->with:ma_spread_mean_reversion,156,1,0,0.0064,52.8259,52.8259,34.754,M5,plausible_novel,"{""probe_id"": ""dp-8187-garch-volatility-r-willr-trend-m5"", ""first_indicator_id"": ""GARCH_VOLATILITY_REGIME"", ""second_indicator_id"": ""WILLR_TREND"", ""probe_timeframe"": ""M5"", ""discovery_lane"": ""plausible_novel"", ""composite_score"": 52.8259, ""best_trades"": ""19"", ""best_expectancy_r"": ""0.4079"", ""best_profit_factor"": ""1.62""}"
first_cluster_07,second_cluster_04,first:unknown->with:stochf_mean_reversion,second:trend->with:ma_spread_mean_reversion,12,1,0,0.0833,51.1861,51.1861,34.5394,M15,wild_diversity,"{""probe_id"": ""dp-14329-stoch-crossover-garch-volatility-r-m15"", ""first_indicator_id"": ""STOCH_CROSSOVER"", ""second_indicator_id"": ""GARCH_VOLATILITY_REGIME"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""wild_diversity"", ""composite_score"": 51.1861, ""best_trades"": ""10"", ""best_expectancy_r"": ""0.75"", ""best_profit_factor"": ""2.0""}"
first_cluster_06,second_cluster_04,first:trend->with:keltner_channel_mean_reversion,second:trend->with:ma_spread_mean_reversion,48,1,0,0.0208,51.0023,51.0023,33.8041,M15,proven_neighbor,"{""probe_id"": ""dp-2250-ma-slope-trend-garch-volatility-r-m15"", ""first_indicator_id"": ""MA_SLOPE_TREND"", ""second_indicator_id"": ""GARCH_VOLATILITY_REGIME"", ""probe_timeframe"": ""M15"", ""discovery_lane"": ""proven_neighbor"", ""composite_score"": 51.0023, ""best_trades"": ""31"", ""best_expectancy_r"": ""0.3629"", ""best_profit_factor"": ""1.4286""}"
first_cluster_03,second_cluster_08,first:trend->with:obv_mean_reversion,second:unknown->with:stochf_mean_reversion,28,0,0,0.0,47.7349,0.0,16.7072,,,{}
first_cluster_01,second_cluster_08,first:confirm->with:minus_di_mean_reversion,second:unknown->with:stochf_mean_reversion,50,0,0,0.0,46.6441,0.0,16.3254,,,{}
first_cluster_07,second_cluster_01,first:unknown->with:stochf_mean_reversion,second:confirm->with:plus_di_mean_reversion,60,0,0,0.0,46.6441,0.0,16.3254,,,{}
first_cluster_08,second_cluster_02,first:filter->with:garch_volatility_regime,second:mean-reversion->with:toby_crabel_narrow_range,174,0,0,0.0,45.834,0.0,16.0419,,,{}
first_cluster_05,second_cluster_05,first:confirm->with:weis_wave_force_trend,second:trend->with:keltner_channel_mean_reversion,28,0,0,0.0,44.8867,0.0,15.7103,,,{}
first_cluster_02,second_cluster_09,first:mean-reversion->with:toby_crabel_narrow_range,second:filter->with:garch_volatility_regime,112,0,0,0.0,42.0197,0.0,14.7069,,,{}
first_cluster_01,second_cluster_09,first:confirm->with:minus_di_mean_reversion,second:filter->with:garch_volatility_regime,100,0,0,0.0,40.7657,0.0,14.268,,,{}
first_cluster_08,second_cluster_01,first:filter->with:garch_volatility_regime,second:confirm->with:plus_di_mean_reversion,177,0,0,0.0,38.5713,0.0,13.5,,,{}
first_cluster_03,second_cluster_06,first:trend->with:obv_mean_reversion,second:filter->with:cmo_mean_reversion,54,0,0,0.0,36.7969,0.0,12.8789,,,{}
first_cluster_04,second_cluster_03,first:filter->with:rsi_mean_reversion,second:breakout->with:obv_mean_reversion,111,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_04,second_cluster_05,first:filter->with:rsi_mean_reversion,second:trend->with:keltner_channel_mean_reversion,110,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_04,second_cluster_06,first:filter->with:rsi_mean_reversion,second:filter->with:cmo_mean_reversion,30,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_04,second_cluster_07,first:filter->with:rsi_mean_reversion,second:filter->with:cmo_trend,16,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_04,second_cluster_08,first:filter->with:rsi_mean_reversion,second:unknown->with:stochf_mean_reversion,16,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_04,second_cluster_09,first:filter->with:rsi_mean_reversion,second:filter->with:garch_volatility_regime,32,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_05,second_cluster_07,first:confirm->with:weis_wave_force_trend,second:filter->with:cmo_trend,4,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_05,second_cluster_08,first:confirm->with:weis_wave_force_trend,second:unknown->with:stochf_mean_reversion,4,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_05,second_cluster_09,first:confirm->with:weis_wave_force_trend,second:filter->with:garch_volatility_regime,8,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_06,second_cluster_03,first:trend->with:keltner_channel_mean_reversion,second:breakout->with:obv_mean_reversion,56,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_06,second_cluster_05,first:trend->with:keltner_channel_mean_reversion,second:trend->with:keltner_channel_mean_reversion,50,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_06,second_cluster_06,first:trend->with:keltner_channel_mean_reversion,second:filter->with:cmo_mean_reversion,16,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_06,second_cluster_07,first:trend->with:keltner_channel_mean_reversion,second:filter->with:cmo_trend,8,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_06,second_cluster_08,first:trend->with:keltner_channel_mean_reversion,second:unknown->with:stochf_mean_reversion,8,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_06,second_cluster_09,first:trend->with:keltner_channel_mean_reversion,second:filter->with:garch_volatility_regime,16,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_07,second_cluster_03,first:unknown->with:stochf_mean_reversion,second:breakout->with:obv_mean_reversion,14,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_07,second_cluster_05,first:unknown->with:stochf_mean_reversion,second:trend->with:keltner_channel_mean_reversion,14,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_07,second_cluster_06,first:unknown->with:stochf_mean_reversion,second:filter->with:cmo_mean_reversion,4,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_07,second_cluster_07,first:unknown->with:stochf_mean_reversion,second:filter->with:cmo_trend,2,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_07,second_cluster_09,first:unknown->with:stochf_mean_reversion,second:filter->with:garch_volatility_regime,4,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_08,second_cluster_03,first:filter->with:garch_volatility_regime,second:breakout->with:obv_mean_reversion,41,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_08,second_cluster_05,first:filter->with:garch_volatility_regime,second:trend->with:keltner_channel_mean_reversion,40,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_08,second_cluster_06,first:filter->with:garch_volatility_regime,second:filter->with:cmo_mean_reversion,12,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_08,second_cluster_07,first:filter->with:garch_volatility_regime,second:filter->with:cmo_trend,6,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_08,second_cluster_08,first:filter->with:garch_volatility_regime,second:unknown->with:stochf_mean_reversion,6,0,0,0.0,0.0,0.0,0.0,,,{}
first_cluster_08,second_cluster_09,first:filter->with:garch_volatility_regime,second:filter->with:garch_volatility_regime,8,0,0,0.0,0.0,0.0,0.0,,,{}
