cluster_id,cluster_rank,side,behavioral_label,member_count,members,tested_count,positive_count,strong_count,best_score,avg_positive_score,top_partner_indicators,top_partner_strategy_roles,top_timeframes,top_lanes,mean_assignment_similarity
first_cluster_02,1,first,first:mean-reversion->with:toby_crabel_narrow_range,28,"RSI_CROSSBACK,CHANNEL_REENTRY,CMO_MEAN_REVERSION,WILLR_MEAN_REVERSION,OBV_MEAN_REVERSION,PLUS_DI_MEAN_REVERSION,MFI_MEAN_REVERSION,ULTOSC_MEAN_REVERSION,MA_SPREAD_MEAN_REVERSION,BBANDS_POSITION_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,RSI_MEAN_REVERSION,STOCH_MEAN_REVERSION,MOM_MEAN_REVERSION,WEIS_WAVE_FORCE_MEAN_REVERSION,KELTNER_CHANNEL_MEAN_REVERSION,MA_CROSSOVER,ROOFING_FILTER_MEAN_REVERSION,STOCHF_MEAN_REVERSION,AROON_MEAN_REVERSION,CCI_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,STOCHRSI_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,SAR_MEAN_REVERSION,CHAIKIN_AD_MEAN_REVERSION,ADOSC_MEAN_REVERSION",4804,549,85,78.3601,61.7996,"TOBY_CRABEL_NARROW_RANGE,WEIS_WAVE_FORCE_TREND,WAVETREND_CROSSOVER,MARKET_MODE_TRANSITION,KST_CROSSOVER,NVO_VOLUME_IMPULSE,PMO_CROSSOVER,CANDLE_DIRECTION_INDEX,ROOFING_FILTER_CONFIRM,GARCH_VOLATILITY_REGIME","confirm,trend,filter,breakout,mean-reversion,unknown","M15,M5","plausible_novel,wild_diversity,proven_neighbor,under_tested_role_correct",0.4642
first_cluster_01,2,first,first:confirm->with:minus_di_mean_reversion,25,"TOBY_CRABEL_NARROW_RANGE,MACD_CROSSOVER,STOCHF_TREND,THRUST_BAR_SIGNAL,MARKET_MODE_TRANSITION,WAVETREND_CROSSOVER,WEIS_WAVE_FORCE_TREND,NVO_VOLUME_IMPULSE,KST_CROSSOVER,EHLERS_FISHER_TRANSITION,PRICE_RECLAIM_MA,CANDLE_DIRECTION_INDEX,PMO_CROSSOVER,TRENDFLEX_CONFIRM,WICK_REJECTION,OBV_TREND,ROOFING_FILTER_CONFIRM,KEY_REVERSAL_SIGNAL,BUFFERED_RANGE_BREAKOUT_SIGNAL,SPEARMAN_RANK_CORRELATION,AROON_TREND,ROLLING_VOLUME_PROFILE_CONTEXT,KALMAN_VELOCITY_CONFIRM,MACD_HISTOGRAM_PIPS_TREND,MOM_TREND",4275,401,80,78.3601,62.5435,"MINUS_DI_MEAN_REVERSION,CHANNEL_REENTRY,CMO_MEAN_REVERSION,RSI_CROSSBACK,MFI_MEAN_REVERSION,ULTOSC_MEAN_REVERSION,RSI_MEAN_REVERSION,KELTNER_CHANNEL_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,AROON_MEAN_REVERSION","mean-reversion,confirm,trend,unknown,filter,breakout","M15,M5","wild_diversity,proven_neighbor,plausible_novel,under_tested_role_correct",0.4486
first_cluster_04,3,first,first:filter->with:rsi_mean_reversion,8,"VQI_DIRECTIONAL_QUALITY,STOCHRSI_TREND,EHLERS_FISHER_STATE_FILTER,CHAIKIN_AD_TREND,ADOSC_TREND,MA_SPREAD_TREND,BOLLINGER_KELTNER_SQUEEZE_FILTER,ATR_STEP_TREND_FILTER",1372,44,1,76.5771,61.0443,"RSI_MEAN_REVERSION,RSI_CROSSBACK,MA_SLOPE_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,WILLR_MEAN_REVERSION,PLUS_DI_MEAN_REVERSION,STOCH_MEAN_REVERSION,MOM_MEAN_REVERSION,CCI_MEAN_REVERSION,BBANDS_POSITION_MEAN_REVERSION","mean-reversion,confirm,filter","M15,M5","proven_neighbor,wild_diversity,plausible_novel",0.4829
first_cluster_03,4,first,first:trend->with:obv_mean_reversion,14,"BOLLINGER_KELTNER_SQUEEZE_RELEASE,MINUS_DI_TREND,BBANDS_POSITION_TREND,DONCHIAN_CHANNEL_BREAKOUT,PLUS_DI_TREND,MFI_TREND,ULTOSC_TREND,STOCH_TREND,BREAKOUT_FIRST_CLOSE,CMO_TREND,CCI_TREND,RSI_TREND,WILLR_TREND,GARCH_VOLATILITY_REGIME",2408,199,16,76.2815,60.128,"OBV_MEAN_REVERSION,MA_SPREAD_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,MFI_MEAN_REVERSION,SAR_MEAN_REVERSION,ADOSC_MEAN_REVERSION,ROLLING_VOLUME_PROFILE_CONTEXT,CHAIKIN_AD_MEAN_REVERSION,MOM_MEAN_REVERSION","mean-reversion,confirm,filter,trend,breakout,unknown","M15,M5","wild_diversity,plausible_novel,proven_neighbor,under_tested_role_correct",0.4765
first_cluster_05,5,first,first:confirm->with:weis_wave_force_trend,2,"TTF_DSL_TRANSITION,STOCHRSI_CROSSBACK",344,16,2,74.4479,60.3295,"WEIS_WAVE_FORCE_TREND,PLUS_DI_TREND,PRICE_RECLAIM_MA,BBANDS_POSITION_MEAN_REVERSION,STOCH_TREND,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,AROON_MEAN_REVERSION,NVO_VOLUME_IMPULSE,GARCH_VOLATILITY_REGIME,RSI_MEAN_REVERSION","trend,mean-reversion,confirm,filter","M15,M5","wild_diversity,proven_neighbor",0.6553
first_cluster_06,6,first,first:trend->with:keltner_channel_mean_reversion,4,"MA_DISTANCE_TREND,KELTNER_CHANNEL_BREAKOUT,SAR_TREND,MA_SLOPE_TREND",685,31,0,69.0885,58.1372,"KELTNER_CHANNEL_MEAN_REVERSION,WAVETREND_CROSSOVER,CHANNEL_REENTRY,MA_DISTANCE_MEAN_REVERSION,KEY_REVERSAL_SIGNAL,MA_CROSSOVER,SAR_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,CMO_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_FILTER","mean-reversion,confirm,unknown,filter","M5,M15","plausible_novel,proven_neighbor,wild_diversity",0.5377
first_cluster_07,7,first,first:unknown->with:stochf_mean_reversion,1,STOCH_CROSSOVER,172,2,0,61.7839,56.485,"STOCHF_MEAN_REVERSION,GARCH_VOLATILITY_REGIME","mean-reversion,filter",M15,wild_diversity,1.0
first_cluster_08,8,first,first:filter->with:garch_volatility_regime,3,"RANDOM_WALK_INDEX_FILTER,ADX,ATR_VOLATILITY_FILTER",512,4,0,60.0878,57.5687,GARCH_VOLATILITY_REGIME,filter,"M15,M5",wild_diversity,0.9005
second_cluster_02,1,second,second:mean-reversion->with:toby_crabel_narrow_range,29,"RSI_CROSSBACK,CHANNEL_REENTRY,CMO_MEAN_REVERSION,WILLR_MEAN_REVERSION,OBV_MEAN_REVERSION,MA_SPREAD_MEAN_REVERSION,MFI_MEAN_REVERSION,ULTOSC_MEAN_REVERSION,BBANDS_POSITION_MEAN_REVERSION,PLUS_DI_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,ADOSC_MEAN_REVERSION,RSI_MEAN_REVERSION,MOM_MEAN_REVERSION,WEIS_WAVE_FORCE_MEAN_REVERSION,STOCH_MEAN_REVERSION,KELTNER_CHANNEL_MEAN_REVERSION,MA_CROSSOVER,ROOFING_FILTER_MEAN_REVERSION,STOCHRSI_CROSSBACK,STOCHF_MEAN_REVERSION,AROON_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,CCI_MEAN_REVERSION,SAR_MEAN_REVERSION,CHAIKIN_AD_MEAN_REVERSION,STOCHRSI_MEAN_REVERSION",4977,550,91,78.3601,62.0286,"TOBY_CRABEL_NARROW_RANGE,KST_CROSSOVER,GARCH_VOLATILITY_REGIME,MARKET_MODE_TRANSITION,WEIS_WAVE_FORCE_TREND,NVO_VOLUME_IMPULSE,CANDLE_DIRECTION_INDEX,PMO_CROSSOVER,WAVETREND_CROSSOVER,MFI_TREND","confirm,trend,filter,breakout,mean-reversion,unknown","M15,M5","wild_diversity,plausible_novel,proven_neighbor,under_tested_role_correct",0.4552
second_cluster_01,2,second,second:confirm->with:plus_di_mean_reversion,30,"TOBY_CRABEL_NARROW_RANGE,MACD_CROSSOVER,STOCHF_TREND,VQI_DIRECTIONAL_QUALITY,THRUST_BAR_SIGNAL,WAVETREND_CROSSOVER,WEIS_WAVE_FORCE_TREND,MARKET_MODE_TRANSITION,NVO_VOLUME_IMPULSE,KST_CROSSOVER,PMO_CROSSOVER,EHLERS_FISHER_TRANSITION,PRICE_RECLAIM_MA,CANDLE_DIRECTION_INDEX,TRENDFLEX_CONFIRM,BOLLINGER_KELTNER_SQUEEZE_FILTER,OBV_TREND,ROOFING_FILTER_CONFIRM,KEY_REVERSAL_SIGNAL,WICK_REJECTION,SPEARMAN_RANK_CORRELATION,AROON_TREND,KALMAN_VELOCITY_CONFIRM,SAR_TREND,STOCHRSI_TREND,EHLERS_FISHER_STATE_FILTER,CHAIKIN_AD_TREND,MOM_TREND,MACD_HISTOGRAM_PIPS_TREND,MA_SPREAD_TREND",5128,444,82,78.3601,62.2422,"PLUS_DI_MEAN_REVERSION,CHANNEL_REENTRY,MINUS_DI_MEAN_REVERSION,CMO_MEAN_REVERSION,RSI_CROSSBACK,RSI_MEAN_REVERSION,WILLR_MEAN_REVERSION,CCI_MEAN_REVERSION,STOCH_MEAN_REVERSION,KELTNER_CHANNEL_MEAN_REVERSION","mean-reversion,confirm,trend,filter,unknown,breakout","M15,M5","plausible_novel,proven_neighbor,wild_diversity,under_tested_role_correct",0.4444
second_cluster_03,3,second,second:breakout->with:obv_mean_reversion,7,"BOLLINGER_KELTNER_SQUEEZE_RELEASE,TTF_DSL_TRANSITION,DONCHIAN_CHANNEL_BREAKOUT,BUFFERED_RANGE_BREAKOUT_SIGNAL,PLUS_DI_TREND,MFI_TREND,BREAKOUT_FIRST_CLOSE",1199,85,7,76.2815,60.5411,"OBV_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,MOM_MEAN_REVERSION,AROON_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,PRICE_RECLAIM_MA,MA_SPREAD_MEAN_REVERSION,MA_CROSSOVER,MARKET_MODE_TRANSITION","mean-reversion,confirm,trend,unknown,filter,breakout","M15,M5","plausible_novel,wild_diversity,proven_neighbor,under_tested_role_correct",0.495
second_cluster_04,4,second,second:trend->with:ma_spread_mean_reversion,6,"BBANDS_POSITION_TREND,CMO_TREND,ULTOSC_TREND,CCI_TREND,WILLR_TREND,GARCH_VOLATILITY_REGIME",1032,84,1,72.419,58.0479,"MA_SPREAD_MEAN_REVERSION,MFI_MEAN_REVERSION,ROLLING_VOLUME_PROFILE_CONTEXT,SAR_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,CHAIKIN_AD_MEAN_REVERSION,ADOSC_MEAN_REVERSION,AROON_MEAN_REVERSION,STOCHRSI_MEAN_REVERSION","mean-reversion,filter,confirm,trend,breakout,unknown","M5,M15","wild_diversity,plausible_novel,proven_neighbor",0.621
second_cluster_05,5,second,second:trend->with:keltner_channel_mean_reversion,7,"MINUS_DI_TREND,MA_DISTANCE_TREND,KELTNER_CHANNEL_BREAKOUT,ADOSC_TREND,MA_SLOPE_TREND,RSI_TREND,RANDOM_WALK_INDEX_FILTER",1204,52,1,72.1137,59.6556,"KELTNER_CHANNEL_MEAN_REVERSION,WAVETREND_CROSSOVER,BUFFERED_RANGE_BREAKOUT_SIGNAL,MOM_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,WEIS_WAVE_FORCE_MEAN_REVERSION,PLUS_DI_TREND,RSI_CROSSBACK,NVO_VOLUME_IMPULSE","mean-reversion,confirm,breakout,trend,filter","M15,M5","wild_diversity,proven_neighbor,plausible_novel",0.4538
second_cluster_06,6,second,second:filter->with:cmo_mean_reversion,2,"ATR_STEP_TREND_FILTER,STOCH_TREND",344,11,2,71.4887,64.1224,"CMO_MEAN_REVERSION,MFI_MEAN_REVERSION,STOCHRSI_CROSSBACK,MINUS_DI_MEAN_REVERSION,MA_DISTANCE_MEAN_REVERSION,EHLERS_FISHER_TRANSITION,MOM_MEAN_REVERSION,MA_SPREAD_MEAN_REVERSION","mean-reversion,confirm","M15,M5","plausible_novel,wild_diversity",0.6627
second_cluster_07,7,second,second:filter->with:cmo_trend,1,ROLLING_VOLUME_PROFILE_CONTEXT,172,16,0,67.7271,60.1905,"CMO_TREND,BBANDS_POSITION_TREND,PLUS_DI_MEAN_REVERSION,RSI_TREND,ULTOSC_MEAN_REVERSION,DONCHIAN_CHANNEL_BREAKOUT,THRUST_BAR_SIGNAL,MA_SLOPE_MEAN_REVERSION,CCI_TREND,CANDLE_DIRECTION_INDEX","trend,mean-reversion,confirm,breakout,filter","M15,M5",wild_diversity,1.0
second_cluster_08,8,second,second:unknown->with:stochf_mean_reversion,1,STOCH_CROSSOVER,172,1,0,61.7839,61.7839,STOCHF_MEAN_REVERSION,mean-reversion,M15,plausible_novel,1.0
second_cluster_09,9,second,second:filter->with:garch_volatility_regime,2,"ADX,ATR_VOLATILITY_FILTER",344,3,0,57.3247,54.8352,GARCH_VOLATILITY_REGIME,filter,"M15,M5",wild_diversity,0.868
