indicator_id,signal_role,strategy_role,instrument,timeframe,status,bars,event_count,long_event_count,short_event_count,active_percent,long_active_percent,short_active_percent,long_share_of_active,avg_persistence_bars,median_persistence_bars,median_bars_between_events,density_bucket,balance_bucket,profile_id,error_type,error,resumed_from_existing
EHLERS_FISHER_TRANSITION,trigger,confirm,EURUSD,M5,ok,5000,813,487,486,19.46,9.74,9.72,0.5005,1.1968,1.0,5.0,usable,balanced,6a0f336c1436eb5e7c11,,,
EHLERS_FISHER_TRANSITION,trigger,confirm,GBPUSD,M5,ok,5000,841,508,508,20.32,10.16,10.16,0.5,1.2081,1.0,5.0,dense,balanced,6a0f336c1436eb5e7c11,,,
EHLERS_FISHER_TRANSITION,trigger,confirm,USDJPY,M5,ok,5000,867,516,515,20.62,10.32,10.3,0.5005,1.1892,1.0,5.0,dense,balanced,6a0f336c1436eb5e7c11,,,
EHLERS_FISHER_TRANSITION,trigger,confirm,XAUUSD,M5,ok,5000,866,513,512,20.5,10.26,10.24,0.5005,1.1836,1.0,5.0,dense,balanced,6a0f336c1436eb5e7c11,,,
EHLERS_FISHER_TRANSITION,trigger,confirm,EURUSD,M15,ok,5000,819,489,488,19.54,9.78,9.76,0.5005,1.1929,1.0,5.0,usable,balanced,6a0f336f93731a78d982,,,
EHLERS_FISHER_TRANSITION,trigger,confirm,GBPUSD,M15,ok,5000,841,512,511,20.46,10.24,10.22,0.5005,1.2164,1.0,5.0,dense,balanced,6a0f336f93731a78d982,,,
EHLERS_FISHER_TRANSITION,trigger,confirm,USDJPY,M15,ok,5000,848,506,506,20.24,10.12,10.12,0.5,1.1934,1.0,5.0,dense,balanced,6a0f336f93731a78d982,,,
EHLERS_FISHER_TRANSITION,trigger,confirm,XAUUSD,M15,ok,5000,831,494,494,19.76,9.88,9.88,0.5,1.1889,1.0,5.0,usable,balanced,6a0f336f93731a78d982,,,
KEY_REVERSAL_SIGNAL,trigger,confirm,EURUSD,M5,ok,5000,400,205,199,8.12,4.14,3.98,0.5099,1.015,1.0,9.0,usable,balanced,6a0f33730dfb3e8be4ed,,,
KEY_REVERSAL_SIGNAL,trigger,confirm,GBPUSD,M5,ok,5000,383,209,182,7.82,4.18,3.64,0.5345,1.0209,1.0,9.0,usable,balanced,6a0f33730dfb3e8be4ed,,,
KEY_REVERSAL_SIGNAL,trigger,confirm,USDJPY,M5,ok,5000,397,185,215,8.04,3.7,4.34,0.4602,1.0126,1.0,9.0,usable,balanced,6a0f33730dfb3e8be4ed,,,
KEY_REVERSAL_SIGNAL,trigger,confirm,XAUUSD,M5,ok,5000,383,196,187,7.66,3.92,3.74,0.5117,1.0,1.0,9.0,usable,balanced,6a0f33730dfb3e8be4ed,,,
KEY_REVERSAL_SIGNAL,trigger,confirm,EURUSD,M15,ok,5000,379,178,203,7.62,3.56,4.06,0.4672,1.0053,1.0,10.0,usable,balanced,6a0f33767c422d2e49ea,,,
KEY_REVERSAL_SIGNAL,trigger,confirm,GBPUSD,M15,ok,5000,372,180,193,7.46,3.6,3.86,0.4826,1.0027,1.0,10.0,usable,balanced,6a0f33767c422d2e49ea,,,
KEY_REVERSAL_SIGNAL,trigger,confirm,USDJPY,M15,ok,5000,384,194,191,7.72,3.9,3.82,0.5052,1.0052,1.0,9.0,usable,balanced,6a0f33767c422d2e49ea,,,
KEY_REVERSAL_SIGNAL,trigger,confirm,XAUUSD,M15,ok,5000,353,173,180,7.08,3.48,3.6,0.4915,1.0028,1.0,11.0,usable,balanced,6a0f33767c422d2e49ea,,,
CANDLE_DIRECTION_INDEX,trigger,confirm,EURUSD,M5,ok,5000,240,139,130,5.74,3.02,2.72,0.5261,1.1958,1.0,9.0,usable,balanced,6a0f3379e532733f8413,,,
CANDLE_DIRECTION_INDEX,trigger,confirm,GBPUSD,M5,ok,5000,259,161,130,6.32,3.52,2.8,0.557,1.2201,1.0,8.0,usable,balanced,6a0f3379e532733f8413,,,
CANDLE_DIRECTION_INDEX,trigger,confirm,USDJPY,M5,ok,5000,180,117,83,4.38,2.58,1.8,0.589,1.2167,1.0,11.0,usable,balanced,6a0f3379e532733f8413,,,
CANDLE_DIRECTION_INDEX,trigger,confirm,XAUUSD,M5,ok,5000,211,124,102,4.98,2.64,2.34,0.5301,1.1801,1.0,9.0,usable,balanced,6a0f3379e532733f8413,,,
CANDLE_DIRECTION_INDEX,trigger,confirm,EURUSD,M15,ok,5000,163,97,87,3.92,2.14,1.78,0.5459,1.2025,1.0,17.0,usable,balanced,6a0f337d890926862d09,,,
CANDLE_DIRECTION_INDEX,trigger,confirm,GBPUSD,M15,ok,5000,155,89,79,3.66,1.98,1.68,0.541,1.1806,1.0,16.5,usable,balanced,6a0f337d890926862d09,,,
CANDLE_DIRECTION_INDEX,trigger,confirm,USDJPY,M15,ok,5000,179,103,96,4.36,2.2,2.16,0.5046,1.2179,1.0,19.0,usable,balanced,6a0f337d890926862d09,,,
CANDLE_DIRECTION_INDEX,trigger,confirm,XAUUSD,M15,ok,5000,162,90,92,3.96,2.0,1.96,0.5051,1.2222,1.0,12.0,usable,balanced,6a0f337d890926862d09,,,
BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,EURUSD,M5,ok,5000,361,189,188,7.54,3.78,3.76,0.5013,1.0443,1.0,11.0,usable,balanced,6a0f33811e69cefcdcc1,,,
BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,GBPUSD,M5,ok,5000,382,202,201,8.06,4.04,4.02,0.5012,1.055,1.0,10.0,usable,balanced,6a0f33811e69cefcdcc1,,,
BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,USDJPY,M5,ok,5000,350,182,182,7.28,3.64,3.64,0.5,1.04,1.0,11.0,usable,balanced,6a0f33811e69cefcdcc1,,,
BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,XAUUSD,M5,ok,5000,357,185,184,7.38,3.7,3.68,0.5014,1.0336,1.0,10.0,usable,balanced,6a0f33811e69cefcdcc1,,,
BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,EURUSD,M15,ok,5000,357,186,185,7.42,3.72,3.7,0.5013,1.0392,1.0,10.0,usable,balanced,6a0f338494931cab4775,,,
BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,GBPUSD,M15,ok,5000,347,184,184,7.36,3.68,3.68,0.5,1.0605,1.0,11.0,usable,balanced,6a0f338494931cab4775,,,
BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,USDJPY,M15,ok,5000,392,209,210,8.38,4.18,4.2,0.4988,1.0689,1.0,10.0,usable,balanced,6a0f338494931cab4775,,,
BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,XAUUSD,M15,ok,5000,372,192,192,7.68,3.84,3.84,0.5,1.0323,1.0,11.0,usable,balanced,6a0f338494931cab4775,,,
CANDLESTICK_PATTERNS,trigger,,EURUSD,M5,ok,5000,0,0,0,0.0,0.0,0.0,,,,,flat,flat,6a0f33882ae5951ea63f,,,
CANDLESTICK_PATTERNS,trigger,,GBPUSD,M5,ok,5000,0,0,0,0.0,0.0,0.0,,,,,flat,flat,6a0f33882ae5951ea63f,,,
CANDLESTICK_PATTERNS,trigger,,USDJPY,M5,ok,5000,0,0,0,0.0,0.0,0.0,,,,,flat,flat,6a0f33882ae5951ea63f,,,
CANDLESTICK_PATTERNS,trigger,,XAUUSD,M5,ok,5000,0,0,0,0.0,0.0,0.0,,,,,flat,flat,6a0f33882ae5951ea63f,,,
CANDLESTICK_PATTERNS,trigger,,EURUSD,M15,ok,5000,0,0,0,0.0,0.0,0.0,,,,,flat,flat,6a0f338bab12d037c78e,,,
CANDLESTICK_PATTERNS,trigger,,GBPUSD,M15,ok,5000,0,0,0,0.0,0.0,0.0,,,,,flat,flat,6a0f338bab12d037c78e,,,
CANDLESTICK_PATTERNS,trigger,,USDJPY,M15,ok,5000,0,0,0,0.0,0.0,0.0,,,,,flat,flat,6a0f338bab12d037c78e,,,
CANDLESTICK_PATTERNS,trigger,,XAUUSD,M15,ok,5000,0,0,0,0.0,0.0,0.0,,,,,flat,flat,6a0f338bab12d037c78e,,,
MACD_CROSSOVER,trigger,,EURUSD,M5,ok,5000,351,193,193,7.72,3.86,3.86,0.5,1.0997,1.0,12.0,usable,balanced,6a0f338f1fc2f90f7e28,,,
MACD_CROSSOVER,trigger,,GBPUSD,M5,ok,5000,348,193,193,7.72,3.86,3.86,0.5,1.1092,1.0,12.0,usable,balanced,6a0f338f1fc2f90f7e28,,,
MACD_CROSSOVER,trigger,,USDJPY,M5,ok,5000,379,207,208,8.3,4.14,4.16,0.4988,1.095,1.0,10.0,usable,balanced,6a0f338f1fc2f90f7e28,,,
MACD_CROSSOVER,trigger,,XAUUSD,M5,ok,5000,353,189,188,7.54,3.78,3.76,0.5013,1.068,1.0,12.0,usable,balanced,6a0f338f1fc2f90f7e28,,,
MACD_CROSSOVER,trigger,,EURUSD,M15,ok,5000,361,193,193,7.72,3.86,3.86,0.5,1.0693,1.0,11.0,usable,balanced,6a0f339301d8e759eec6,,,
MACD_CROSSOVER,trigger,,GBPUSD,M15,ok,5000,363,202,202,8.08,4.04,4.04,0.5,1.1129,1.0,11.0,usable,balanced,6a0f339301d8e759eec6,,,
MACD_CROSSOVER,trigger,,USDJPY,M15,ok,5000,356,194,194,7.76,3.88,3.88,0.5,1.0899,1.0,12.0,usable,balanced,6a0f339301d8e759eec6,,,
MACD_CROSSOVER,trigger,,XAUUSD,M15,ok,5000,355,194,193,7.74,3.88,3.86,0.5013,1.0901,1.0,12.0,usable,balanced,6a0f339301d8e759eec6,,,
STOCH_CROSSOVER,trigger,,EURUSD,M5,ok,5000,1163,640,640,25.6,12.8,12.8,0.5,1.1006,1.0,4.0,dense,balanced,6a0f33969639b8de15f6,,,
STOCH_CROSSOVER,trigger,,GBPUSD,M5,ok,5000,1154,653,652,26.1,13.06,13.04,0.5004,1.1308,1.0,4.0,dense,balanced,6a0f33969639b8de15f6,,,
STOCH_CROSSOVER,trigger,,USDJPY,M5,ok,5000,1155,650,649,25.98,13.0,12.98,0.5004,1.1247,1.0,4.0,dense,balanced,6a0f33969639b8de15f6,,,
STOCH_CROSSOVER,trigger,,XAUUSD,M5,ok,5000,1179,671,671,26.84,13.42,13.42,0.5,1.1383,1.0,4.0,dense,balanced,6a0f33969639b8de15f6,,,
STOCH_CROSSOVER,trigger,,EURUSD,M15,ok,5000,1158,661,661,26.44,13.22,13.22,0.5,1.1416,1.0,4.0,dense,balanced,6a0f339a37ecb5fb42ac,,,
STOCH_CROSSOVER,trigger,,GBPUSD,M15,ok,5000,1165,660,660,26.4,13.2,13.2,0.5,1.133,1.0,4.0,dense,balanced,6a0f339a37ecb5fb42ac,,,
STOCH_CROSSOVER,trigger,,USDJPY,M15,ok,5000,1189,672,672,26.88,13.44,13.44,0.5,1.1304,1.0,4.0,dense,balanced,6a0f339a37ecb5fb42ac,,,
STOCH_CROSSOVER,trigger,,XAUUSD,M15,ok,5000,1160,667,667,26.68,13.34,13.34,0.5,1.15,1.0,4.0,dense,balanced,6a0f339a37ecb5fb42ac,,,
THRUST_BAR_SIGNAL,trigger,confirm,EURUSD,M5,ok,5000,57,35,24,1.22,0.74,0.48,0.6066,1.0702,1.0,65.5,usable,balanced,6a0f339e04357c83ea3e,,,
THRUST_BAR_SIGNAL,trigger,confirm,GBPUSD,M5,ok,5000,66,39,27,1.36,0.8,0.56,0.5882,1.0303,1.0,66.0,usable,balanced,6a0f339e04357c83ea3e,,,
THRUST_BAR_SIGNAL,trigger,confirm,USDJPY,M5,ok,5000,50,17,39,1.18,0.34,0.84,0.2881,1.18,1.0,67.0,usable,short_biased,6a0f339e04357c83ea3e,,,
THRUST_BAR_SIGNAL,trigger,confirm,XAUUSD,M5,ok,5000,47,26,21,0.98,0.54,0.44,0.551,1.0426,1.0,72.0,sparse,balanced,6a0f339e04357c83ea3e,,,
THRUST_BAR_SIGNAL,trigger,confirm,EURUSD,M15,ok,5000,60,38,23,1.24,0.78,0.46,0.629,1.0333,1.0,68.0,usable,balanced,6a0f33a1c33559b4e418,,,
THRUST_BAR_SIGNAL,trigger,confirm,GBPUSD,M15,ok,5000,52,34,19,1.12,0.72,0.4,0.6429,1.0769,1.0,69.0,usable,balanced,6a0f33a1c33559b4e418,,,
THRUST_BAR_SIGNAL,trigger,confirm,USDJPY,M15,ok,5000,59,15,45,1.26,0.3,0.96,0.2381,1.0678,1.0,64.0,usable,short_biased,6a0f33a1c33559b4e418,,,
THRUST_BAR_SIGNAL,trigger,confirm,XAUUSD,M15,ok,5000,49,22,31,1.1,0.46,0.64,0.4182,1.1224,1.0,65.0,usable,balanced,6a0f33a1c33559b4e418,,,
TOBY_CRABEL_NARROW_RANGE,trigger,confirm,EURUSD,M5,ok,5000,160,160,160,8.84,8.84,8.84,0.5,2.7625,2.0,18.0,usable,balanced,6a0f33a54cf7cf261243,,,
TOBY_CRABEL_NARROW_RANGE,trigger,confirm,GBPUSD,M5,ok,5000,146,146,146,8.46,8.46,8.46,0.5,2.8973,3.0,19.0,usable,balanced,6a0f33a54cf7cf261243,,,
TOBY_CRABEL_NARROW_RANGE,trigger,confirm,USDJPY,M5,ok,5000,156,156,156,8.48,8.48,8.48,0.5,2.7179,2.0,22.0,usable,balanced,6a0f33a54cf7cf261243,,,
TOBY_CRABEL_NARROW_RANGE,trigger,confirm,XAUUSD,M5,ok,5000,152,152,152,8.96,8.96,8.96,0.5,2.9474,2.0,20.0,usable,balanced,6a0f33a54cf7cf261243,,,
TOBY_CRABEL_NARROW_RANGE,trigger,confirm,EURUSD,M15,ok,5000,153,153,153,9.18,9.18,9.18,0.5,3.0,2.0,17.0,usable,balanced,6a0f33a93f341f7bc4a1,,,
TOBY_CRABEL_NARROW_RANGE,trigger,confirm,GBPUSD,M15,ok,5000,146,146,146,9.24,9.24,9.24,0.5,3.1644,3.0,16.0,usable,balanced,6a0f33a93f341f7bc4a1,,,
TOBY_CRABEL_NARROW_RANGE,trigger,confirm,USDJPY,M15,ok,5000,127,127,127,7.28,7.28,7.28,0.5,2.8661,2.0,35.0,usable,balanced,6a0f33a93f341f7bc4a1,,,
TOBY_CRABEL_NARROW_RANGE,trigger,confirm,XAUUSD,M15,ok,5000,133,133,133,7.44,7.44,7.44,0.5,2.797,2.0,29.0,usable,balanced,6a0f33a93f341f7bc4a1,,,
BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,EURUSD,M5,ok,5000,136,72,65,5.48,2.88,2.6,0.5255,2.0147,2.0,28.0,usable,balanced,6a0f33acbf6dbb62058d,,,
BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,GBPUSD,M5,ok,5000,145,69,77,5.92,2.76,3.16,0.4662,2.0414,2.0,30.0,usable,balanced,6a0f33acbf6dbb62058d,,,
BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,USDJPY,M5,ok,5000,143,85,61,5.88,3.44,2.44,0.585,2.0559,2.0,29.0,usable,balanced,6a0f33acbf6dbb62058d,,,
BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,XAUUSD,M5,ok,5000,134,64,71,5.4,2.56,2.84,0.4741,2.0149,2.0,30.0,usable,balanced,6a0f33acbf6dbb62058d,,,
BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,EURUSD,M15,ok,5000,143,67,79,5.88,2.68,3.2,0.4558,2.0559,2.0,30.0,usable,balanced,6a0f33b07147a3763f1b,,,
BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,GBPUSD,M15,ok,5000,132,68,64,5.36,2.76,2.6,0.5149,2.0303,2.0,32.0,usable,balanced,6a0f33b07147a3763f1b,,,
BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,USDJPY,M15,ok,5000,150,79,72,6.12,3.24,2.88,0.5294,2.04,2.0,28.0,usable,balanced,6a0f33b07147a3763f1b,,,
BOLLINGER_KELTNER_SQUEEZE_RELEASE,trigger,breakout,XAUUSD,M15,ok,5000,148,71,77,6.04,2.88,3.16,0.4768,2.0405,2.0,29.0,usable,balanced,6a0f33b07147a3763f1b,,,
MA_CROSSOVER,trigger,,EURUSD,M5,ok,5000,223,119,119,4.76,2.38,2.38,0.5,1.0673,1.0,16.5,usable,balanced,6a0f33b45cd08b5fe000,,,
MA_CROSSOVER,trigger,,GBPUSD,M5,ok,5000,202,115,114,4.58,2.3,2.28,0.5022,1.1337,1.0,19.0,usable,balanced,6a0f33b45cd08b5fe000,,,
MA_CROSSOVER,trigger,,USDJPY,M5,ok,5000,223,121,120,4.82,2.42,2.4,0.5021,1.0807,1.0,15.5,usable,balanced,6a0f33b45cd08b5fe000,,,
MA_CROSSOVER,trigger,,XAUUSD,M5,ok,5000,202,107,107,4.28,2.14,2.14,0.5,1.0594,1.0,18.0,usable,balanced,6a0f33b45cd08b5fe000,,,
MA_CROSSOVER,trigger,,EURUSD,M15,ok,5000,202,105,104,4.18,2.1,2.08,0.5024,1.0347,1.0,15.0,usable,balanced,6a0f33b8174c239dd278,,,
MA_CROSSOVER,trigger,,GBPUSD,M15,ok,5000,202,107,106,4.26,2.14,2.12,0.5023,1.0545,1.0,16.0,usable,balanced,6a0f33b8174c239dd278,,,
MA_CROSSOVER,trigger,,USDJPY,M15,ok,5000,237,128,128,5.12,2.56,2.56,0.5,1.0802,1.0,14.0,usable,balanced,6a0f33b8174c239dd278,,,
MA_CROSSOVER,trigger,,XAUUSD,M15,ok,5000,240,129,128,5.14,2.58,2.56,0.5019,1.0708,1.0,14.0,usable,balanced,6a0f33b8174c239dd278,,,
PMO_CROSSOVER,trigger,confirm,EURUSD,M5,ok,5000,259,144,143,11.3,5.84,5.84,0.5,2.1815,2.0,17.0,usable,balanced,6a0f33bea91d3c1004e8,,,
PMO_CROSSOVER,trigger,confirm,GBPUSD,M5,ok,5000,258,145,143,11.22,5.88,5.84,0.5017,2.1744,2.0,16.0,usable,balanced,6a0f33bea91d3c1004e8,,,
PMO_CROSSOVER,trigger,confirm,USDJPY,M5,ok,5000,284,165,162,12.68,6.6,6.6,0.5,2.2324,2.0,14.0,usable,balanced,6a0f33bea91d3c1004e8,,,
