score,legacy_quality_score,score_delta_vs_legacy,reward_landed,reward_best,stop_landed,trade_count,trades_per_month,max_drawdown_r,max_consecutive_losses,path_win_rate,proof,edge,ride,stability,viability,positive_cell_ratio,bars_per_signal,max_signal_run,trigger_indicator_count,indicator_ids,lookbacks,flags,run_id,candidate_name,artifact_dir,profile_path
86.8414,79.2655,7.5759,12.0,10.5,0.04,69.0,1.9198664440734559,1.3866,15.0,0.3623,0.975006,0.983244,0.582045,0.914969,0.967391,0.9984,3170.5942,3.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_det8_top_20260501T000834257404Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_det8_top_20260501T000834257404Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\det8_top.json
86.4779,76.3632,10.1147,12.0,12.0,0.04,53.0,1.4746800222593213,1.3589,11.0,0.3019,0.950397,0.971679,0.643438,0.895133,0.909294,0.9808,4128.4151,3.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_usdjpy_check_20260501T002108126609Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_usdjpy_check_20260501T002108126609Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\usdjpy_check.json
85.7947,79.0669,6.7278,9.0,10.0,0.04,80.0,2.2259321090706736,0.868,10.0,0.2375,0.984306,0.880449,0.606667,0.894592,0.988307,0.5456,2734.475,2.0,1.0,ATR_VOLATILITY_FILTER|CHAIKIN_AD_MEAN_REVERSION|OBV_TREND|WICK_REJECTION,1|1|1|1,tiny_stop_le_0_06,20260501T002657136119Z-agentic-5fc358,eval_cand8_gbpusd_20260501T003801381982Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\evals\eval_cand8_gbpusd_20260501T003801381982Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\profiles\cand8_gbpusd.json
83.5863,66.7419,16.8444,3.0,5.0,0.12,31.0,0.862548692264886,1.0547,7.0,0.4194,0.867686,0.920505,0.661338,0.928475,0.83194,0.4224,21172.0,5.0,1.0,ADX|CANDLESTICK_PATTERNS|PLUS_DI_TREND|MA_DISTANCE_MEAN_REVERSION,1|1|1|1,thin_sample_lt_36|low_cadence_lt_2pm,20260430T233710259953Z-agentic-a5d75f,eval_cand10_20260501T000138136363Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T233710259953Z-agentic-a5d75f\evals\eval_cand10_20260501T000138136363Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T233710259953Z-agentic-a5d75f\profiles\cand10.json
81.8563,75.7221,6.1342,11.0,12.5,0.04,69.0,1.9198664440734559,1.2193,23.0,0.2899,0.975006,0.969953,0.51085,0.795488,0.956258,0.5424,3170.4058,4.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|tiny_stop_le_0_06|low_cadence_lt_2pm|loss_streak_20_plus,20260430T234454261065Z-agentic-c237af,eval_gbpusd_eurusd_family_20260501T001605426759Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_gbpusd_eurusd_family_20260501T001605426759Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\gbpusd_eurusd_family.json
81.8008,65.0138,16.787,12.0,12.5,0.3,21.0,0.5843071786310517,0.9776,7.0,0.2857,0.785537,0.967796,0.679958,0.9228,0.7678,0.9808,10416.9524,1.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|thin_sample_lt_36|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_cross_pair1_20260501T000402198577Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_cross_pair1_20260501T000402198577Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\cross_pair1.json
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_sw_cand20_top_20260430T232355262206Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_sw_cand20_top_20260430T232355262206Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\sw_cand20_top.json
80.584,72.4406,8.1434,12.0,11.5,0.22,50.0,1.391207568169171,1.9286,21.0,0.24,0.943494,0.917267,0.444333,0.962341,0.918272,0.7808,4375.42,1.0,1.0,MACD_CROSSOVER|MA_SLOPE_TREND,1|1,high_r_10_plus|r_12_plus|low_cadence_lt_2pm|loss_streak_20_plus|weak_ride_lt_45,20260501T004246401500Z-agentic-1b8fa5,eval_cand_hybrid1_20260501T010754881304Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\evals\eval_cand_hybrid1_20260501T010754881304Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\profiles\cand_hybrid1.json
80.584,72.4406,8.1434,12.0,11.5,0.22,50.0,1.391207568169171,1.9286,21.0,0.24,0.943494,0.917267,0.444333,0.962341,0.918272,0.7808,4375.36,1.0,1.0,MACD_CROSSOVER|MA_SLOPE_TREND,1|1,high_r_10_plus|r_12_plus|low_cadence_lt_2pm|loss_streak_20_plus|weak_ride_lt_45,20260501T004246401500Z-agentic-1b8fa5,eval_cand7_20260501T005220878228Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\evals\eval_cand7_20260501T005220878228Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\profiles\cand7.json
80.2574,63.8503,16.4071,12.0,12.5,0.08,20.0,0.5564830272676684,0.8591,7.0,0.25,0.774342,0.943011,0.669367,0.895133,0.761071,0.9744,10938.55,1.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|thin_sample_lt_36|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_evo3_top_20260430T235651683192Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_evo3_top_20260430T235651683192Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\evo3_top.json
80.0245,70.6417,9.3828,10.0,10.0,0.2,67.0,1.864218141346689,1.8132,16.0,0.1642,0.964348,0.707959,0.50218,0.97367,0.983112,0.648,3265.209,1.0,2.0,CCI_MEAN_REVERSION|OBV_TREND|STOCHRSI_CROSSBACK|CHANNEL_REENTRY,1|1|1|1,high_r_10_plus|low_cadence_lt_2pm|win_rate_lt_20,20260430T234537381907Z-agentic-ae53b3,eval_cand1_20260430T234555580399Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\evals\eval_cand1_20260430T234555580399Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\profiles\cand1.json
79.8647,79.442,0.4227,7.5,8.0,0.04,132.0,3.6727879799666114,0.9149,16.0,0.1894,0.998221,0.680867,0.518281,0.922577,0.999812,0.4544,1656.1591,1.0,1.0,AROON_TREND|PLUS_DI_TREND|MA_SLOPE_TREND|STOCHRSI_CROSSBACK,1|1|1|1,tiny_stop_le_0_06|win_rate_lt_20,20260430T234537381907Z-agentic-ae53b3,eval_leader_nzdusd_check_20260501T003413868215Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\evals\eval_leader_nzdusd_check_20260501T003413868215Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\profiles\sw13_top.json
79.8425,73.2908,6.5517,12.0,12.5,0.18,73.0,2.0311630495269895,1.4962,17.0,0.1507,0.978905,0.764452,0.467999,0.926652,0.999812,0.4992,2956.8378,1.0,1.0,OBV_MEAN_REVERSION|STOCH_TREND|PRICE_RECLAIM_MA,1|1|1,high_r_10_plus|r_12_plus|win_rate_lt_20,20260501T002420700291Z-agentic-d2a90e,eval_cand18_20260501T004639700714Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002420700291Z-agentic-d2a90e\evals\eval_cand18_20260501T004639700714Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002420700291Z-agentic-d2a90e\profiles\cand18.json
79.7531,76.553,3.2001,11.0,12.5,0.1,106.0,2.9493600445186425,2.5597,18.0,0.1698,0.99473,0.815145,0.432566,0.936866,0.981903,0.8464,4127.6321,3.0,1.0,ADX|CANDLESTICK_PATTERNS|AROON_TREND|MA_DISTANCE_MEAN_REVERSION,1|1|1|1,high_r_10_plus|win_rate_lt_20|weak_ride_lt_45,20260430T233710259953Z-agentic-a5d75f,eval_sw9_top_20260501T000800799748Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T233710259953Z-agentic-a5d75f\evals\eval_sw9_top_20260501T000800799748Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T233710259953Z-agentic-a5d75f\profiles\sw9_top.json
79.4644,80.1553,-0.6909,12.0,11.5,0.2,151.0,4.201446855870897,1.5402,21.0,0.1523,0.999194,0.732912,0.439614,0.984399,0.999812,0.8144,1449.0464,1.0,1.0,AROON_TREND|PLUS_DI_TREND|MA_SLOPE_TREND|STOCHRSI_CROSSBACK,1|1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus|win_rate_lt_20|weak_ride_lt_45,20260430T234537381907Z-agentic-ae53b3,eval_leader_usdjpy_check_20260501T003727921796Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\evals\eval_leader_usdjpy_check_20260501T003727921796Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\profiles\sw13_top.json
79.3949,62.9346,16.4603,7.5,8.5,0.18,26.0,0.7234279354479689,0.9364,9.0,0.2308,0.813299,0.818221,0.648333,0.914768,0.799342,0.5232,8413.7692,1.0,1.0,STOCH_CROSSOVER|MOM_TREND|SAR_MEAN_REVERSION|MA_SLOPE_TREND,1|1|1|1,thin_sample_lt_36|low_cadence_lt_2pm,20260501T011410480457Z-agentic-c80c39,eval_candidate_20260501T012709013207Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T011410480457Z-agentic-c80c39\evals\eval_candidate_20260501T012709013207Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T011410480457Z-agentic-c80c39\profiles\cand10b.json
78.8949,82.0807,-3.1858,12.0,12.5,0.14,171.0,4.757929883138565,1.143,22.0,0.1345,0.99965,0.725651,0.434805,0.969253,0.999853,0.9216,2558.8538,1.0,2.0,MACD_CROSSOVER|CCI_TREND|MA_SPREAD_TREND|PRICE_RECLAIM_MA,1|1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus|win_rate_lt_20|weak_ride_lt_45,20260430T234209100828Z-agentic-cf3af2,eval_cand12_20260501T002700424297Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234209100828Z-agentic-cf3af2\evals\eval_cand12_20260501T002700424297Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234209100828Z-agentic-cf3af2\profiles\cand12.json
78.0663,77.3782,0.6881,3.5,6.0,0.06,128.0,3.5614913745130776,1.0846,27.0,0.2344,0.997897,0.668996,0.485249,0.895213,0.999812,0.4576,1709.0469,1.0,1.0,AROON_TREND|PLUS_DI_TREND|MA_SLOPE_TREND|STOCHRSI_CROSSBACK,1|1|1|1,tiny_stop_le_0_06|loss_streak_20_plus,20260430T234537381907Z-agentic-ae53b3,eval_sw13_gbpusd_check_20260501T002733897532Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\evals\eval_sw13_gbpusd_check_20260501T002733897532Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\profiles\sw13_top.json
77.531,69.2414,8.2896,10.0,10.0,0.2,73.0,2.0311630495269895,1.8132,19.0,0.1507,0.94239,0.652317,0.467455,0.975058,0.999812,0.5664,2996.8356,1.0,2.0,CCI_MEAN_REVERSION|OBV_TREND|STOCHRSI_CROSSBACK|CHANNEL_REENTRY,1|1|3|1,high_r_10_plus|win_rate_lt_20,20260430T234537381907Z-agentic-ae53b3,eval_candidate_20260430T234735700551Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\evals\eval_candidate_20260430T234735700551Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234537381907Z-agentic-ae53b3\profiles\candidate.json
77.3492,57.7606,19.5886,3.0,6.5,0.04,13.0,0.36171396772398445,0.5472,2.0,0.3846,0.664818,0.938739,0.756567,0.858957,0.682675,0.28,16823.2308,1.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,tiny_stop_le_0_06|thin_sample_lt_36|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_cross_pair2_20260501T000520661503Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_cross_pair2_20260501T000520661503Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\cross_pair2.json
77.2388,63.7353,13.5035,5.0,6.5,0.22,38.0,1.05731775180857,4.0521,13.0,0.2632,0.903939,0.782178,0.503916,0.913805,0.844346,0.3648,5756.7895,3.0,1.0,MACD_HISTOGRAM_PIPS_TREND|STOCH_CROSSOVER|PLUS_DI_MEAN_REVERSION|MA_SPREAD_TREND,1|3|1|1,low_cadence_lt_2pm,20260501T004133832474Z-agentic-32d0fa,eval_sw12_top_gbpusd_20260501T012411495141Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004133832474Z-agentic-32d0fa\evals\eval_sw12_top_gbpusd_20260501T012411495141Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004133832474Z-agentic-32d0fa\profiles\sw12_top.json
76.9057,73.2737,3.632,8.5,12.5,0.18,87.0,2.4207011686143574,0.81,14.0,0.1494,0.988312,0.760245,0.489752,0.748347,0.976934,0.3776,2514.4598,3.0,1.0,STOCH_CROSSOVER|MOM_TREND|SAR_MEAN_REVERSION|MA_SLOPE_TREND,3|1|1|1,win_rate_lt_20,20260501T011410480457Z-agentic-c80c39,eval_candidate_20260501T012823724199Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T011410480457Z-agentic-c80c39\evals\eval_candidate_20260501T012823724199Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T011410480457Z-agentic-c80c39\profiles\sw10b_top.json
76.7794,75.8665,0.9129,5.0,5.0,0.24,189.0,5.258764607679466,1.9712,17.0,0.2275,0.999835,0.532351,0.514214,0.975025,0.999853,0.4912,3454.3947,1.0,1.0,MINUS_DI_TREND|STOCHRSI_MEAN_REVERSION|STOCHRSI_CROSSBACK,1|1|1,,20260501T005559178330Z-agentic-493aa1,eval_sw_local_top_20260501T010633068189Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T005559178330Z-agentic-493aa1\evals\eval_sw_local_top_20260501T010633068189Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T005559178330Z-agentic-493aa1\profiles\sw_local_top.json
76.6615,62.4066,14.2549,11.5,12.5,0.24,34.0,0.9460211463550362,1.8725,15.0,0.1765,0.878615,0.835287,0.475302,0.909904,0.834231,0.4192,6434.4412,2.0,1.0,MACD_HISTOGRAM_PIPS_TREND|STOCH_CROSSOVER|PLUS_DI_MEAN_REVERSION|MA_SPREAD_TREND,1|3|1|1,high_r_10_plus|thin_sample_lt_36|low_cadence_lt_2pm|win_rate_lt_20,20260501T004133832474Z-agentic-32d0fa,eval_evo11_top_36m_20260501T011839498717Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004133832474Z-agentic-32d0fa\evals\eval_evo11_top_36m_20260501T011839498717Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004133832474Z-agentic-32d0fa\profiles\evo11_top.json
76.5612,86.1335,-9.5723,7.0,7.0,0.48,323.0,8.987200890372844,1.4128,18.0,0.1858,0.999999,0.580311,0.464018,0.977083,0.999812,0.7008,660.9003,1.0,2.0,MACD_CROSSOVER|CHAIKIN_AD_TREND|STOCHF_TREND|STOCHRSI_CROSSBACK,1|1|1|1,win_rate_lt_20,20260430T230053877421Z-agentic-79f031,eval_cand19_20260430T233848810366Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230053877421Z-agentic-79f031\evals\eval_cand19_20260430T233848810366Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230053877421Z-agentic-79f031\profiles\cand19.json
76.544,76.6826,-0.1386,11.0,12.5,0.3,132.0,3.6727879799666114,1.8231,18.0,0.1212,0.992639,0.656785,0.421692,0.955895,0.999853,0.8432,3289.6917,1.0,2.0,MACD_CROSSOVER|CCI_TREND|MA_SPREAD_TREND|PRICE_RECLAIM_MA,1|1|1|1,high_r_10_plus|win_rate_lt_20|weak_ride_lt_45,20260430T234209100828Z-agentic-cf3af2,eval_cand12_20260501T001031818262Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234209100828Z-agentic-cf3af2\evals\eval_cand12_20260501T001031818262Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234209100828Z-agentic-cf3af2\profiles\cand12.json
76.2156,55.3593,20.8563,8.0,9.5,0.38,15.0,0.4173622704507513,1.2403,5.0,0.2,0.600567,0.952542,0.702114,0.913868,0.700622,0.3312,54689.9375,1.0,1.0,BBANDS_POSITION_TREND|STOCHF_TREND|RSI_CROSSBACK,1|1|1,thin_sample_lt_36|low_cadence_lt_2pm,20260430T230056484668Z-agentic-b481e1,eval_ctx_h1_tf_lb_top_36m_20260501T000208220321Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230056484668Z-agentic-b481e1\evals\eval_ctx_h1_tf_lb_top_36m_20260501T000208220321Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230056484668Z-agentic-b481e1\profiles\ctx_h1_tf_lb_top.json
75.9357,67.2774,8.6583,5.0,6.0,0.48,102.0,2.8380634390651087,1.817,14.0,0.2255,0.993769,0.639001,0.517431,0.777498,0.988307,0.2384,2144.8039,2.0,1.0,ATR_VOLATILITY_FILTER|CHAIKIN_AD_MEAN_REVERSION|MFI_MEAN_REVERSION|OBV_TREND|WICK_REJECTION,1|1|1|1|1,,20260501T002657136119Z-agentic-5fc358,eval_cand7_flowvol_20260501T003732593910Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\evals\eval_cand7_flowvol_20260501T003732593910Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\profiles\cand7_flowvol.json
75.5669,73.3052,2.2617,12.0,12.0,0.32,108.0,3.005008347245409,2.2634,30.0,0.1296,0.987496,0.657458,0.396641,0.968202,0.988307,0.6992,1988.8273,2.0,1.0,ATR_VOLATILITY_FILTER|CHAIKIN_AD_MEAN_REVERSION|OBV_TREND|WICK_REJECTION,1|1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus|win_rate_lt_20|weak_ride_lt_45,20260501T002657136119Z-agentic-5fc358,eval_cand3_contrast_20260501T003203990038Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\evals\eval_cand3_contrast_20260501T003203990038Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\profiles\cand3_contrast.json
75.4611,63.1824,12.2787,12.0,12.5,0.06,35.0,0.9738452977184197,0.8106,14.0,0.1429,0.813742,0.736851,0.525248,0.915006,0.849105,0.6944,6251.5714,1.0,1.0,MACD_CROSSOVER|MA_SLOPE_TREND,1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|thin_sample_lt_36|low_cadence_lt_2pm|win_rate_lt_20,20260501T004246401500Z-agentic-1b8fa5,eval_sw_hyb_top_20260501T011348268249Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\evals\eval_sw_hyb_top_20260501T011348268249Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\profiles\cand_hybrid1.json
75.1181,83.9658,-8.8477,12.0,11.0,0.04,190.0,5.286588759042849,0.9744,19.0,0.1368,0.999842,0.709201,0.431263,0.917742,0.852238,0.6,2302.7842,2.0,1.0,ATR_VOLATILITY_FILTER|CHAIKIN_AD_MEAN_REVERSION|OBV_TREND|WICK_REJECTION,1|1|1|1,high_r_10_plus|r_12_plus|tiny_stop_le_0_06|win_rate_lt_20|weak_ride_lt_45,20260501T002657136119Z-agentic-5fc358,eval_sw_eurusd_thresh_top_20260501T005903723292Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\evals\eval_sw_eurusd_thresh_top_20260501T005903723292Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T002657136119Z-agentic-5fc358\profiles\sw_eurusd_thresh_top.json
75.0161,82.0709,-7.0548,12.0,12.5,0.12,214.0,5.954368391764052,0.9912,20.0,0.1215,0.999942,0.637698,0.406423,0.916821,0.999812,0.8128,1022.2336,1.0,2.0,MACD_CROSSOVER|CCI_TREND|SAR_TREND|PRICE_RECLAIM_MA,1|1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus|win_rate_lt_20|weak_ride_lt_45,20260430T234209100828Z-agentic-cf3af2,eval_cand9_20260501T000628348595Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234209100828Z-agentic-cf3af2\evals\eval_cand9_20260501T000628348595Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234209100828Z-agentic-cf3af2\profiles\cand9.json
74.9482,60.9555,13.9927,6.0,12.5,0.16,33.0,0.9181969949916529,0.9751,9.0,0.1515,0.823339,0.76718,0.571452,0.781171,0.838698,0.4272,6629.3939,1.0,2.0,MOM_MEAN_REVERSION|CANDLESTICK_PATTERNS|CHAIKIN_AD_TREND|PRICE_RECLAIM_MA,1|1|1|1,thin_sample_lt_36|low_cadence_lt_2pm|win_rate_lt_20,20260430T230054735134Z-agentic-7018d0,eval_cand9_20260501T000459829797Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230054735134Z-agentic-7018d0\evals\eval_cand9_20260501T000459829797Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230054735134Z-agentic-7018d0\profiles\cand9.json
